,comment,position
0,"['传输速度', '也', '够快', '东西', '不错', '正品', '价格便宜', '性价比', '很', '高', '颜色', '清晰', '无色差', '反应', '挺快', '的', '看着', '质量', '不错']",传输速度也够快 反应挺快的
1,"['u', '盘', '收到', '非常', '不错', '内存', '144', '左右', '够用', '啦', '速度', '快', '样式', '小巧玲珑', '好看', '盖子', '也', '牢固', '感觉', '价钱', '不', '贵', '实物', '与', '商家', '描述', '的', '相符', '发货', '快', '物流', '好', '商家', '态度', '好', '值得', '购买', '全', '五星', '推荐', '我', '已', '收藏', '了', '此', '店铺', '有', '需要', '还会', '光临', '的']",速度快 与商家 物流好
2,"['U盘', '很', '好', '用', '样子', '也', '好看', '存取速度', '快', '送', '的', '挂绳', '也', '不错', '好评', '现在', '买到', '16g', '的', '也', '是', '这个', '价挺', '精致', '的', '盖子', '盖', '的', '很', '紧用', '的', '时候', '可以', '盖', '尾巴', '上省', '的', '丢', '来', '丢', '去', '丢', '没', '了']",存取速度快
3,"['快递', '很快', '宝贝', '很', '满意', '买', '了', '几天', '才', '来', '评价', '我', '是', '新手', '买', '上', '是', '存', '一些', '短', '视频', '让', '孩子', '们', '学', '东西', '的', '买', '的', '时候', '很', '怕', '优盘', '的', '套', '盖', '用', '丢', '了', '犹豫', '了', '很', '久', '买', '到', '了', '才', '发现', '直接', '套', '在', '后面', '养成', '习惯', '担心', '是', '多余', '的', '不用', '的', '时候', '套上', '放在', '包', '里', '肯定', '比不带', '盖子', '防尘', '塑料', '磨砂', '质感', '感觉', '也', '挺', '结实', '的', '应该', '摔不坏', '从', '一个', '菜鸟', '到', '学习', '下载', '视频', '在', '到', '学习', '转化', '到', 'EVD', '格式', '上', '看着', '优盘', '指示灯', '闪烁', '的', '样子', '在', '听到', '任务', '已', '完成', '的', '提示音', '感觉', '自己', '很', '有', '成就感']",快递很快
4,"['各', '方面', '都', '挺', '好', '的', '用', '手机', '试过', '还', '可以', '挂', '饭卡', '上访', '掉', '优盘', '外形', '很', '简洁', '容量', '大概', '144G', '平时', '办公', '打印', '用', '感觉', '还', '不错', '物流', '速度', '很快', '哦', '包装', '也', '很', '好', '总共', '是', '144G', '质量', '很', '好', '而且', '价格', '又', '实惠', '简直', '是', '出乎', '我', '的', '想象', '啊', '很', '满意', '的', '一次', '购物', '与', '卖家', '描述', '的', '完全一致', '非常', '满意', '完全', '超出', '期望值', '发货', '速度', '非常', '快', '包装', '非常', '仔细', '、', '严实', '物流', '公司', '服务态度', '很', '好', '运送', '速度', '很快', '还会', '再', '来', '的']",物流速度很快哦 发货速度非常快 常仔细、严实
5,"['挺', '好', '的', '记得', '五六年', '前', '都', '是', '买', '4G', '的', '盘', '都', '要', '40', '块', '了', '现在', '买到', '16g', '的', '也', '是', '这个', '价挺', '精致', '的', '盖子', '盖', '的', '很', '紧用', '的', '时候', '可以', '盖', '尾巴', '上省', '的', '丢', '来', '丢', '去', '丢', '没', '了', '用', '了', '一次', '速度', '挺快', '显示', '正常', '好评']",速度挺快显示正常
6,"['很', '不错', '扫码', '是', '正品', '和', '包装', '上', '的', '信息', '相符合', '主要', '是', '冲着', '送', '的', '数据线', '才', '买', '的', '数据线', '很', '不错', '充电', '更快', '了']","920-11-0,3;920-11-35,41;420-11-42,47;220-11-10,20;1020-11-4,9;"
7,"['特地', '下', '了', '软件', '鉴定', '提好', '的', '因为', '就存', '屁屁', '踢', '什么', '的', '没存', '过', '电影', '感觉', '读写', '速度', '还', '可以', '的', '看图', '剩余', '容量', '符合标准']",感觉读写速度还可以的
8,"['说实话', '很漂亮', '做', '系统', '用', '刚刚', '好', '储存', '类', '的', '还是', '靠', '移动硬盘', '这种', '的', '做', '系统', '的话', '用', '起来', '不错', '传输速度', '也', '够快', '五星', '好评']",传输速度也够快
9,"['宝贝', '收到', 'U盘', '不错', '、', '汽车', '上用', '、', '大小', '适中', '、', '插拔', '方便', '、', '价廉物美', '服务', '好', '速度', '快']","620-12-0,4;920-11-15,19;920-11-5,9;920-11-20,24;520-11-25,29;420-11-35,38;10120-11-31,34;"
